peta_acuan,jam_puncak,permukiman
3, 16.00-18.00,Penting
4,04:00-05:00,Penting
4,04:05-05:00,Sangat penting
4,05:00-08:00,Penting
3,05:30 - 08:00,Penting
4,05:30 - 08:00,Penting
5,05:30 - 21:00,Sangat penting
4,05.00 - 08.00,Sangat penting
3,05.00-06.00,Penting
4,06:0 - 08:00,Tidak penting
3,06:00 - 07:00,Sangat penting
2,06:00 - 07:30,Sangat penting
4,06:00 - 07:30,Penting
2,06:00 - 08:00,Sangat penting
5,06:00 - 08:00,Penting
2,06:00 - 08:00,Tidak penting
1,06:00 - 08:00,Sangat penting
2,06:00 - 08:00,Penting
4,06:00 - 08:00,Penting
4,06:00 - 08.00,Netral
4,06:00 - 09:00,Penting
1,"06:00 - 09:00,",Tidak penting